isogroup14754	Coenzyme transport and metabolism
isogroup5421	Amino acid transport and metabolism
isogroup38378	Signal transduction mechanisms
isogroup38378	Inorganic ion transport and metabolism
isogroup15647	Replication, recombination and repair
isogroup15647	Chromatin structure and dynamics
isogroup15647	Cell cycle control, cell division, chromosome partitioning
isogroup20518	Posttranslational modification, protein turnover, chaperones
isogroup3168	Signal transduction mechanisms
isogroup20224	Translation, ribosomal structure and biogenesis
isogroup4388	Extracellular structures
isogroup22861	Replication, recombination and repair
isogroup21937	Cell motility
isogroup4915	Cell wall/membrane/envelope biogenesis
isogroup26908	RNA processing and modification 
isogroup16716	RNA processing and modification 
isogroup16873	Translation, ribosomal structure and biogenesis
isogroup35233	Energy production and conversion
isogroup4753	Cytoskeleton
isogroup7889	Posttranslational modification, protein turnover, chaperones
isogroup1905	Transcription
isogroup20612	Translation, ribosomal structure and biogenesis
isogroup16393	Energy production and conversion
isogroup7166	Amino acid transport and metabolism
isogroup14428	Replication, recombination and repair
isogroup2315	Signal transduction mechanisms
isogroup25279	Posttranslational modification, protein turnover, chaperones
isogroup9244	Transcription
isogroup9244	Cell cycle control, cell division, chromosome partitioning
isogroup9244	Signal transduction mechanisms
isogroup3734	Translation, ribosomal structure and biogenesis
isogroup6358	Amino acid transport and metabolism
isogroup24679	Signal transduction mechanisms
isogroup12099	Translation, ribosomal structure and biogenesis
isogroup45201	Carbohydrate transport and metabolism
isogroup33197	Carbohydrate transport and metabolism
isogroup33197	Amino acid transport and metabolism
isogroup2549	Signal transduction mechanisms
isogroup13382	Posttranslational modification, protein turnover, chaperones
isogroup5009.1	Lipid transport and metabolism
isogroup44229	Secondary metabolites biosynthesis, transport and catabolism
isogroup758	Posttranslational modification, protein turnover, chaperones
isogroup14188	Signal transduction mechanisms
isogroup14188	Lipid transport and metabolism
isogroup37909	Cell cycle control, cell division, chromosome partitioning
isogroup13554	Replication, recombination and repair
isogroup6598	Extracellular structures
isogroup36427	Posttranslational modification, protein turnover, chaperones
isogroup20309	Lipid transport and metabolism
isogroup970	Signal transduction mechanisms
isogroup970	Extracellular structures
isogroup1711	Lipid transport and metabolism
isogroup19585	Transcription
isogroup19662	Extracellular structures
isogroup19662	Posttranslational modification, protein turnover, chaperones
isogroup8311	Intracellular trafficking, secretion, and vesicular transport
isogroup13849	RNA processing and modification 
isogroup13849	Cell cycle control, cell division, chromosome partitioning
isogroup10039	Translation, ribosomal structure and biogenesis
isogroup31144	Carbohydrate transport and metabolism
isogroup5737	Amino acid transport and metabolism
isogroup17480	Signal transduction mechanisms
isogroup19922	Chromatin structure and dynamics
isogroup26175	Signal transduction mechanisms
isogroup10445	Translation, ribosomal structure and biogenesis
isogroup10445	Cell cycle control, cell division, chromosome partitioning
isogroup15514	Signal transduction mechanisms
isogroup15840	Cytoskeleton
isogroup12335	Amino acid transport and metabolism
isogroup4441	Coenzyme transport and metabolism
isogroup20908	Signal transduction mechanisms
isogroup20908	Extracellular structures
isogroup2915	Transcription
isogroup5276	Carbohydrate transport and metabolism
isogroup10961	Translation, ribosomal structure and biogenesis
isogroup13978	RNA processing and modification 
isogroup6493	Transcription
isogroup8742	Posttranslational modification, protein turnover, chaperones
isogroup13604	Coenzyme transport and metabolism
isogroup9925	Cytoskeleton
isogroup17140	Energy production and conversion
isogroup11683	Signal transduction mechanisms
isogroup11683	Posttranslational modification, protein turnover, chaperones
isogroup39982	Amino acid transport and metabolism
isogroup4426	Intracellular trafficking, secretion, and vesicular transport
isogroup12113	Carbohydrate transport and metabolism
isogroup43064	Signal transduction mechanisms
isogroup8097	Lipid transport and metabolism
isogroup6890	Energy production and conversion
isogroup20362	Signal transduction mechanisms
isogroup4267	Cell wall/membrane/envelope biogenesis
isogroup5954	Extracellular structures
isogroup7951	Replication, recombination and repair
isogroup452	Cytoskeleton
isogroup9839	Signal transduction mechanisms
isogroup1749	Intracellular trafficking, secretion, and vesicular transport
isogroup4871	Inorganic ion transport and metabolism
isogroup11773	Intracellular trafficking, secretion, and vesicular transport
isogroup3651	Cytoskeleton
isogroup11085	RNA processing and modification 
isogroup26229	Signal transduction mechanisms
isogroup10567	Intracellular trafficking, secretion, and vesicular transport
isogroup1743	Posttranslational modification, protein turnover, chaperones
isogroup5620	RNA processing and modification 
isogroup17008	Chromatin structure and dynamics
isogroup6038	Signal transduction mechanisms
isogroup3982	Intracellular trafficking, secretion, and vesicular transport
isogroup21150	Carbohydrate transport and metabolism
isogroup10808	Extracellular structures
isogroup12006	Lipid transport and metabolism
isogroup15878	Lipid transport and metabolism
isogroup18244	Energy production and conversion
isogroup10972	Transcription
isogroup31497	Energy production and conversion
isogroup23040	Posttranslational modification, protein turnover, chaperones
isogroup14745	Cytoskeleton
isogroup3673	Signal transduction mechanisms
isogroup12753	Cell wall/membrane/envelope biogenesis
isogroup32315.1	Inorganic ion transport and metabolism
isogroup33073	Cell cycle control, cell division, chromosome partitioning
isogroup4244	Transcription
isogroup35719	Chromatin structure and dynamics
isogroup15940	Chromatin structure and dynamics
isogroup20260	Posttranslational modification, protein turnover, chaperones
isogroup15858	Extracellular structures
isogroup39430	Coenzyme transport and metabolism
isogroup5166	Transcription
isogroup6028	Posttranslational modification, protein turnover, chaperones
isogroup16737	Posttranslational modification, protein turnover, chaperones
isogroup7146	Energy production and conversion
isogroup30563	Cytoskeleton
isogroup9759	Lipid transport and metabolism
isogroup2265	RNA processing and modification 
isogroup11951	Amino acid transport and metabolism
isogroup43116	RNA processing and modification 
isogroup7454	Intracellular trafficking, secretion, and vesicular transport
isogroup26626	Signal transduction mechanisms
isogroup30558	Translation, ribosomal structure and biogenesis
isogroup2028	Chromatin structure and dynamics
isogroup15756	Translation, ribosomal structure and biogenesis
isogroup4027	Extracellular structures
isogroup10140.1	Posttranslational modification, protein turnover, chaperones
isogroup10655	Chromatin structure and dynamics
isogroup5984	Lipid transport and metabolism
isogroup11131	Nucleotide transport and metabolism
isogroup6276	Intracellular trafficking, secretion, and vesicular transport
isogroup39336	Signal transduction mechanisms
isogroup15889	Carbohydrate transport and metabolism
isogroup33172	Energy production and conversion
isogroup23371	Extracellular structures
isogroup25419	Posttranslational modification, protein turnover, chaperones
isogroup25419	Carbohydrate transport and metabolism
isogroup17498	RNA processing and modification 
isogroup14885	Translation, ribosomal structure and biogenesis
isogroup34553	Signal transduction mechanisms
isogroup2101	Cytoskeleton
isogroup10722	Inorganic ion transport and metabolism
isogroup10942	Lipid transport and metabolism
isogroup11323	Transcription
isogroup19271	Extracellular structures
isogroup9734	Replication, recombination and repair
isogroup23861	RNA processing and modification 
isogroup13652	Posttranslational modification, protein turnover, chaperones
isogroup5987	Posttranslational modification, protein turnover, chaperones
isogroup6982	Lipid transport and metabolism
isogroup28521	Posttranslational modification, protein turnover, chaperones
isogroup13810	Posttranslational modification, protein turnover, chaperones
isogroup8799	Lipid transport and metabolism
isogroup17833	Posttranslational modification, protein turnover, chaperones
isogroup19309	Cell motility
isogroup5641	Posttranslational modification, protein turnover, chaperones
isogroup36181	Signal transduction mechanisms
isogroup2179	Cytoskeleton
isogroup14834	Posttranslational modification, protein turnover, chaperones
isogroup333.2	Chromatin structure and dynamics
isogroup30277	Extracellular structures
isogroup14961	Transcription
isogroup6997	Cytoskeleton
isogroup39045	Signal transduction mechanisms
isogroup16027	Carbohydrate transport and metabolism
isogroup9764	Amino acid transport and metabolism
isogroup9764	Nucleotide transport and metabolism
isogroup5337	Posttranslational modification, protein turnover, chaperones
isogroup24275	Posttranslational modification, protein turnover, chaperones
isogroup17092	Carbohydrate transport and metabolism
isogroup3167	Inorganic ion transport and metabolism
isogroup6619	Nuclear structure
isogroup22693	Lipid transport and metabolism
isogroup7892	Posttranslational modification, protein turnover, chaperones
isogroup5552	Signal transduction mechanisms
isogroup4040.1	Transcription
isogroup10289	Lipid transport and metabolism
isogroup2978	Signal transduction mechanisms
isogroup2978	Extracellular structures
isogroup18262	Cytoskeleton
isogroup18914	Defense mechanisms
isogroup19504	Carbohydrate transport and metabolism
isogroup19504	Amino acid transport and metabolism
isogroup12771	Inorganic ion transport and metabolism
isogroup22777	Posttranslational modification, protein turnover, chaperones
isogroup500	Transcription
isogroup500	Chromatin structure and dynamics
isogroup2533	Signal transduction mechanisms
isogroup15076	Posttranslational modification, protein turnover, chaperones
isogroup27788	Inorganic ion transport and metabolism
isogroup14284	Translation, ribosomal structure and biogenesis
isogroup40689	Lipid transport and metabolism
isogroup23134	Cell cycle control, cell division, chromosome partitioning
